dataset,Beta,Gamma,Delta,Accuracy,FitnessNormalized,SpearmanCorrelation
breast_cancer,0.5,0.75,0.05,0.956080304671854,0.48189137153569445,0.1209434347881912
breast_cancer,0.25,0.25,0.05,0.9537041596900752,0.5624987333434666,0.24502319865584185
breast_cancer,0.75,0.25,0.05,0.9536877441807019,0.7721991057404874,0.05886501442052897
breast_cancer,0.25,0.5,0.05,0.9525345546472307,0.43485416561111956,0.035813297201698006
breast_cancer,0.75,0.5,0.05,0.9519518040644801,0.6401996250696661,0.15938518888610376
breast_cancer,0.75,0.75,0.05,0.9519394924324501,0.5523249480670821,0.08710492675796307
breast_cancer,0.5,0.25,0.1,0.9513649496043862,0.6894407289186132,0.10604634785866278
breast_cancer,0.25,0.75,0.1,0.9507780951442922,0.37038557024877133,0.16459715917604992
breast_cancer,0.5,0.5,0.05,0.9496084901014479,0.5571154430764554,0.2256492519047747
breast_cancer,0.75,0.25,0.1,0.9478438228438227,0.7585477149516137,0.0005732919498367064
breast_cancer,0.25,0.5,0.1,0.9466865294330082,0.4147126378544527,0.08289044871358706
breast_cancer,0.75,0.75,0.1,0.9455046127581338,0.549822668085322,0.04976853300613109
breast_cancer,0.25,0.25,0.1,0.9454923011261039,0.5480252824644068,0.0966948779883919
breast_cancer,0.5,0.5,0.1,0.9449136544206967,0.549136773572478,0.13815129966600415
breast_cancer,0.25,0.75,0.05,0.9431695065497882,0.34489632416274,0.004780315753095371
breast_cancer,0.5,0.75,0.1,0.9431654026724449,0.4620385570248771,0.08028619181486685
breast_cancer,0.75,0.5,0.1,0.9425498210709478,0.6255732887470233,0.035878402601114544
breast_cancer,0.5,0.25,0.05,0.9414089431695065,0.7007363496647582,0.00675299739751125
