dataset,Beta,Gamma,Delta,Accuracy,FitnessNorm,SpearmanCorr
pima,0.5,0.5,0.05,0.7261284722222222,0.6131031706369038,0.009396479192946847
pima,0.75,0.5,0.1,0.7243923611111112,0.6442837608973292,-0.01434812942462721
pima,0.5,0.25,0.05,0.7239583333333334,0.6851352101726914,-0.025328314540645967
pima,0.5,0.25,0.1,0.72265625,0.6769194106650378,0.059033075415150744
pima,0.75,0.5,0.05,0.7183159722222223,0.6563168415792103,-0.0108816117749301
pima,0.5,0.5,0.1,0.7183159722222222,0.605693854461658,-0.14073332459290933
pima,0.75,0.25,0.05,0.7174479166666666,0.7183938412738075,0.005719280762069037
pima,0.25,0.25,0.1,0.7174479166666666,0.6082210630795712,-0.039068490387397896
pima,0.25,0.25,0.05,0.7157118055555555,0.6097506802154479,-0.08067459992394428
pima,0.5,0.75,0.05,0.7144097222222222,0.5708374979177079,-0.09357108665037546
pima,0.75,0.25,0.1,0.7122395833333334,0.7035552536231884,0.010233255593059503
pima,0.25,0.75,0.05,0.7118055555555555,0.5170682887722805,-0.16951973250211452
pima,0.25,0.75,0.1,0.7092013888888888,0.512942226803265,-0.2089546724272203
pima,0.75,0.75,0.1,0.7092013888888888,0.6088884377255817,-0.09974602483091739
pima,0.5,0.75,0.1,0.7083333333333334,0.5700295685490588,-0.20843710038556432
pima,0.25,0.5,0.1,0.70703125,0.5428961445203324,-0.23754326601663164
pima,0.25,0.5,0.05,0.6987847222222222,0.5421289355322338,-0.15876518524590003
pima,0.75,0.75,0.05,0.6970486111111112,0.6147615428396913,-0.22145646336063562
