dataset,Beta,Gamma,Delta,Accuracy,FitnessNorm,SpearmanCorr
wine,0.75,0.75,0.05,0.9681818181818181,0.7060013717421124,0.11416445282854253
wine,0.25,0.25,0.1,0.9606481481481483,0.6828497942386832,0.018433147225412352
wine,0.75,0.5,0.1,0.9588804713804713,0.7499314128943758,0.11263870996261104
wine,0.75,0.75,0.1,0.9587121212121211,0.6955041152263375,0.01035003224391193
wine,0.25,0.75,0.1,0.9571548821548821,0.5630812757201645,-0.01718289408465126
wine,0.5,0.25,0.1,0.9567760942760942,0.7888431641518062,0.02024815591364611
wine,0.5,0.5,0.1,0.9532407407407407,0.6880829903978052,0.05614127691090511
wine,0.5,0.25,0.05,0.9531986531986533,0.8015317786922725,-0.0234577978220518
wine,0.5,0.75,0.05,0.9514309764309764,0.6540164609053498,0.07380591945768991
wine,0.25,0.75,0.05,0.9513888888888888,0.5954115226337449,-0.009679184744338829
wine,0.75,0.25,0.1,0.9512205387205387,0.8364711934156378,0.1069420225490572
wine,0.25,0.5,0.05,0.951010101010101,0.6510516689529035,-0.05938304021535625
wine,0.25,0.5,0.1,0.9494949494949495,0.6123914037494284,-0.17893427873648218
wine,0.25,0.25,0.05,0.9494107744107744,0.7179698216735253,-0.050410880630913146
wine,0.5,0.75,0.1,0.9437289562289563,0.6243045267489712,-0.021687774936367074
wine,0.5,0.5,0.05,0.9436447811447811,0.7070301783264746,0.004142860667838037
wine,0.75,0.25,0.05,0.9419191919191919,0.8550925925925926,0.07388778250419033
wine,0.75,0.5,0.05,0.9382575757575758,0.7586008230452674,0.012170626214633334
