Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
digits,10,0,1,0.85,0.9444444444444444,0.9583333333333334,0.9277777777777778,0.9305555555555556
digits,10,0,2,0.875,0.9416666666666667,0.9555555555555556,0.9388888888888889,0.95
digits,10,0,3,0.8328690807799443,0.9108635097493036,0.9415041782729805,0.8997214484679665,0.8969359331476323
digits,10,0,4,0.8774373259052924,0.9108635097493036,0.9526462395543176,0.935933147632312,0.9331476323119777
digits,10,0,5,0.8607242339832869,0.9331476323119777,0.9387186629526463,0.9303621169916435,0.9275766016713092
digits,10,1,1,0.85,0.9444444444444444,0.9583333333333334,0.9277777777777778,0.9222222222222223
digits,10,1,2,0.8777777777777778,0.9416666666666667,0.9555555555555556,0.95,0.9527777777777777
digits,10,1,3,0.8356545961002786,0.9108635097493036,0.9415041782729805,0.9052924791086351,0.9052924791086351
digits,10,1,4,0.871866295264624,0.9108635097493036,0.9526462395543176,0.947075208913649,0.9331476323119777
digits,10,1,5,0.8607242339832869,0.9331476323119777,0.9387186629526463,0.935933147632312,0.947075208913649
digits,10,2,1,0.8444444444444444,0.9444444444444444,0.9583333333333334,0.9416666666666667,0.95
digits,10,2,2,0.8805555555555555,0.9416666666666667,0.9555555555555556,0.9611111111111111,0.9583333333333334
digits,10,2,3,0.8356545961002786,0.9108635097493036,0.9415041782729805,0.8969359331476323,0.9192200557103064
digits,10,2,4,0.8690807799442897,0.9108635097493036,0.9526462395543176,0.9052924791086351,0.9442896935933147
digits,10,2,5,0.8635097493036211,0.9331476323119777,0.9387186629526463,0.9415041782729805,0.9275766016713092
digits,10,3,1,0.8444444444444444,0.9444444444444444,0.9583333333333334,0.9388888888888889,0.9305555555555556
digits,10,3,2,0.8777777777777778,0.9416666666666667,0.9555555555555556,0.9444444444444444,0.9416666666666667
digits,10,3,3,0.8384401114206128,0.9108635097493036,0.9415041782729805,0.8857938718662952,0.9303621169916435
digits,10,3,4,0.8635097493036211,0.9108635097493036,0.9526462395543176,0.9192200557103064,0.9331476323119777
