Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
pima,10,0,1,0.6883116883116883,0.7337662337662337,0.7467532467532467,0.7142857142857143,0.7207792207792207
pima,10,0,2,0.6883116883116883,0.7272727272727273,0.7207792207792207,0.7207792207792207,0.7467532467532467
pima,10,0,3,0.7077922077922078,0.7402597402597403,0.7402597402597403,0.7467532467532467,0.6948051948051948
pima,10,0,4,0.7320261437908496,0.7647058823529411,0.7450980392156863,0.7647058823529411,0.7581699346405228
pima,10,0,5,0.6862745098039216,0.7647058823529411,0.738562091503268,0.7516339869281046,0.7516339869281046
pima,10,1,1,0.6818181818181818,0.7337662337662337,0.7467532467532467,0.7337662337662337,0.7012987012987013
pima,10,1,2,0.6818181818181818,0.7272727272727273,0.7207792207792207,0.7597402597402597,0.7012987012987013
pima,10,1,3,0.7012987012987013,0.7402597402597403,0.7402597402597403,0.7272727272727273,0.7207792207792207
pima,10,1,4,0.7124183006535948,0.7647058823529411,0.7450980392156863,0.7450980392156863,0.7516339869281046
pima,10,1,5,0.7058823529411765,0.7647058823529411,0.738562091503268,0.7516339869281046,0.7516339869281046
pima,10,2,1,0.6688311688311688,0.7337662337662337,0.7467532467532467,0.7142857142857143,0.7597402597402597
pima,10,2,2,0.6948051948051948,0.7272727272727273,0.7207792207792207,0.7532467532467533,0.7272727272727273
pima,10,2,3,0.7077922077922078,0.7402597402597403,0.7402597402597403,0.7597402597402597,0.7012987012987013
pima,10,2,4,0.7450980392156863,0.7647058823529411,0.7450980392156863,0.7581699346405228,0.7189542483660131
pima,10,2,5,0.7058823529411765,0.7647058823529411,0.738562091503268,0.7516339869281046,0.7189542483660131
pima,10,3,1,0.6753246753246753,0.7337662337662337,0.7467532467532467,0.7402597402597403,0.7597402597402597
pima,10,3,2,0.6818181818181818,0.7272727272727273,0.7207792207792207,0.7077922077922078,0.7142857142857143
pima,10,3,3,0.7142857142857143,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7207792207792207
pima,10,3,4,0.7189542483660131,0.7647058823529411,0.7450980392156863,0.7320261437908496,0.7516339869281046
pima,10,3,5,0.6862745098039216,0.7647058823529411,0.738562091503268,0.7254901960784313,0.7516339869281046
pima,10,4,1,0.6753246753246753,0.7337662337662337,0.7467532467532467,0.7272727272727273,0.7077922077922078
pima,10,4,2,0.6883116883116883,0.7272727272727273,0.7207792207792207,0.7597402597402597,0.6623376623376623
pima,10,4,3,0.7077922077922078,0.7402597402597403,0.7402597402597403,0.7662337662337663,0.7077922077922078
pima,10,4,4,0.7254901960784313,0.7647058823529411,0.7450980392156863,0.7712418300653595,0.7124183006535948
pima,10,4,5,0.6993464052287581,0.7647058823529411,0.738562091503268,0.7516339869281046,0.6862745098039216
pima,20,0,1,0.6948051948051948,0.7402597402597403,0.7662337662337663,0.7402597402597403,0.7597402597402597
pima,20,0,2,0.6818181818181818,0.7597402597402597,0.7467532467532467,0.7792207792207793,0.6753246753246753
pima,20,0,3,0.6818181818181818,0.7857142857142857,0.7987012987012987,0.7467532467532467,0.7532467532467533
pima,20,0,4,0.7320261437908496,0.7581699346405228,0.7712418300653595,0.7581699346405228,0.7647058823529411
pima,20,0,5,0.6928104575163399,0.7581699346405228,0.7320261437908496,0.7189542483660131,0.7581699346405228
pima,20,1,1,0.7012987012987013,0.7402597402597403,0.7662337662337663,0.7467532467532467,0.7207792207792207
pima,20,1,2,0.6818181818181818,0.7597402597402597,0.7467532467532467,0.7532467532467533,0.7662337662337663
pima,20,1,3,0.7012987012987013,0.7857142857142857,0.7987012987012987,0.7597402597402597,0.7402597402597403
pima,20,1,4,0.7189542483660131,0.7581699346405228,0.7712418300653595,0.7450980392156863,0.7843137254901961
pima,20,1,5,0.673202614379085,0.7581699346405228,0.7320261437908496,0.7516339869281046,0.7124183006535948
pima,20,2,1,0.6883116883116883,0.7402597402597403,0.7662337662337663,0.7532467532467533,0.7597402597402597
pima,20,2,2,0.6883116883116883,0.7597402597402597,0.7467532467532467,0.7792207792207793,0.7337662337662337
pima,20,2,3,0.7012987012987013,0.7857142857142857,0.7987012987012987,0.7662337662337663,0.7272727272727273
pima,20,2,4,0.7189542483660131,0.7581699346405228,0.7712418300653595,0.7516339869281046,0.7189542483660131
pima,20,2,5,0.6928104575163399,0.7581699346405228,0.7320261437908496,0.7320261437908496,0.7189542483660131
