dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,1,1,0.28396952249251084,0.9388888888888889,0.09906514785898066,9.059646869638806e-06,0.25,0.25,0.25
digits,1,2,0.28791610165955117,0.9333333333333333,0.19501116012045613,1.364137114641321e-18,0.25,0.25,0.25
digits,1,3,0.2865778354644179,0.925,-0.1744605057980833,3.9167425776053356e-15,0.25,0.25,0.25
digits,1,4,0.2927442322770353,0.95,0.16640077608037487,6.924883488365274e-14,0.25,0.25,0.25
digits,1,5,0.2885872991779802,0.9444444444444444,0.07799913921678264,0.00048055618241924685,0.25,0.25,0.25
digits,2,1,0.2919336942109187,0.9416666666666667,-0.06191593190011964,0.005607500513198633,0.25,0.25,0.25
digits,2,2,0.28576975939979365,0.9277777777777778,0.18762197817707774,2.6576576059058377e-17,0.25,0.25,0.25
digits,2,3,0.2925324531466445,0.9416666666666667,0.03635133708216085,0.10411952534666404,0.25,0.25,0.25
digits,2,4,0.2990108204961822,0.9305555555555556,-0.11261218601847721,4.43921099470386e-07,0.25,0.25,0.25
digits,2,5,0.28907765941243646,0.9388888888888889,0.2099225171790787,2.3537281189881296e-21,0.25,0.25,0.25
digits,3,1,0.29099109051407535,0.9164345403899722,0.091412560456097,4.237887944665393e-05,0.25,0.25,0.25
digits,3,2,0.2903238086487945,0.9164345403899722,0.03103721563808918,0.1652914939708768,0.25,0.25,0.25
digits,3,3,0.2892513429186357,0.9108635097493036,0.28742922640669866,2.396053756223679e-39,0.25,0.25,0.25
digits,3,4,0.2904990681803348,0.8857938718662952,0.10729381123165037,1.5152529632727589e-06,0.25,0.25,0.25
digits,3,5,0.29113366114822703,0.8969359331476323,-0.0006061834962251217,0.9783860329817514,0.25,0.25,0.25
digits,4,1,0.29232329256911505,0.9303621169916435,0.14344205001001456,1.1616254616097384e-10,0.25,0.25,0.25
digits,4,2,0.2896091224261772,0.9303621169916435,-0.06393705673562221,0.004229849003364744,0.25,0.25,0.25
digits,4,3,0.2859979493638293,0.9498607242339833,-0.01733266585434217,0.43850869292142347,0.25,0.25,0.25
digits,4,4,0.3007913646033952,0.9442896935933147,-0.04690633404788107,0.03594419664668455,0.25,0.25,0.25
digits,4,5,0.2915126897686634,0.9498607242339833,0.3376337478319415,1.6197545209205164e-54,0.25,0.25,0.25
digits,5,1,0.2916614666503249,0.9108635097493036,0.10176364910119443,5.1152265028682075e-06,0.25,0.25,0.25
digits,5,2,0.2871945851026728,0.9220055710306406,0.1456441523247674,5.97924412460523e-11,0.25,0.25,0.25
digits,5,3,0.2893014238875323,0.9108635097493036,0.045310707608014,0.042751442221847,0.25,0.25,0.25
digits,5,4,0.2880096728865099,0.9442896935933147,0.14529495514782556,6.64776136694682e-11,0.25,0.25,0.25
digits,5,5,0.2926591003018227,0.935933147632312,-0.15655123151226782,1.918850938053634e-12,0.25,0.25,0.25
digits,1,1,0.2880659445785877,0.9416666666666667,-0.29605070654116367,9.576289923889539e-42,0.25,0.25,0.5
digits,1,2,0.28581782263275124,0.9361111111111111,-0.4528864969923052,1.0082609343837678e-101,0.25,0.25,0.5
digits,1,3,0.28195828945196555,0.9222222222222223,-0.13594904271823535,1.031970569436822e-09,0.25,0.25,0.5
digits,1,4,0.2733178062569919,0.9416666666666667,-0.024407507815053426,0.27526538124379785,0.25,0.25,0.5
digits,1,5,0.28084337177434743,0.9333333333333333,-0.00897723308565166,0.6882499416752129,0.25,0.25,0.5
digits,2,1,0.2770824194763831,0.9333333333333333,-0.16076373330089777,4.753509714459396e-13,0.25,0.25,0.5
digits,2,2,0.28764152166126034,0.9277777777777778,0.021337194147054137,0.34021509531463967,0.25,0.25,0.5
digits,2,3,0.29012785286568454,0.9305555555555556,-0.29503007991972047,1.8597967087783978e-41,0.25,0.25,0.5
digits,2,4,0.28554041233834737,0.9361111111111111,-0.13682687545130792,8.037999190983501e-10,0.25,0.25,0.5
digits,2,5,0.28436373566223877,0.9277777777777778,-0.06752405589552905,0.0025166828231519755,0.25,0.25,0.5
digits,3,1,0.2862646517475911,0.8746518105849582,-0.17054771954494247,1.6073915286886194e-14,0.25,0.25,0.5
digits,3,2,0.29173212206031485,0.9025069637883009,-0.030872008738298883,0.1675546263133968,0.25,0.25,0.5
digits,3,3,0.2872494274914199,0.8774373259052924,-0.20335409992960163,4.1261757861021216e-20,0.25,0.25,0.5
digits,3,4,0.2797287431576609,0.8746518105849582,-0.3870990174514787,1.701478312182086e-72,0.25,0.25,0.5
digits,3,5,0.27854333796795555,0.9025069637883009,-0.19176345527466257,5.10655443543811e-18,0.25,0.25,0.5
digits,4,1,0.27862833146048804,0.9303621169916435,0.01799558504645759,0.4211954336436463,0.25,0.25,0.5
digits,4,2,0.2867220721875904,0.9220055710306406,0.08899067196008356,6.742205279902686e-05,0.25,0.25,0.5
digits,4,3,0.28614674772141224,0.935933147632312,0.1116175409902689,5.609118745713164e-07,0.25,0.25,0.5
digits,4,4,0.28811451069056115,0.935933147632312,-0.12393915692595531,2.686729086495654e-08,0.25,0.25,0.5
digits,4,5,0.27794893045679875,0.9192200557103064,-0.16977192059601837,2.1183690642316697e-14,0.25,0.25,0.5
digits,5,1,0.28132406768107165,0.9192200557103064,-0.1490651058505634,2.0886266250291484e-11,0.25,0.25,0.5
digits,5,2,0.28352954044724715,0.9303621169916435,-0.3212915498222468,2.965201774467254e-49,0.25,0.25,0.5
digits,5,3,0.28885781259285076,0.9275766016713092,-0.10075762012713321,6.340834915620107e-06,0.25,0.25,0.5
digits,5,4,0.2927951493247042,0.9387186629526463,0.46291235288566923,8.984710748888043e-107,0.25,0.25,0.5
digits,5,5,0.2846672011855913,0.9331476323119777,-0.02195054738247593,0.3265124566765194,0.25,0.25,0.5
digits,1,1,0.270090038378619,0.9361111111111111,0.0974173317615818,1.2753307729653416e-05,0.25,0.25,0.75
digits,1,2,0.28490454494478734,0.9194444444444444,-0.45235012250807266,1.857887778986324e-101,0.25,0.25,0.75
digits,1,3,0.278883165602139,0.9222222222222223,-0.02603420575294973,0.24452354516179822,0.25,0.25,0.75
digits,1,4,0.27809774746179106,0.9055555555555556,-0.35546338305861735,1.2398072310137972e-60,0.25,0.25,0.75
digits,1,5,0.2740531766810372,0.9222222222222223,-0.13398985494567228,1.7921484299691229e-09,0.25,0.25,0.75
digits,2,1,0.27650984460284656,0.9277777777777778,-0.33308429646113397,5.092586626216305e-53,0.25,0.25,0.75
digits,2,2,0.2854417884914384,0.9388888888888889,-0.27500952733644335,4.892256398796091e-36,0.25,0.25,0.75
digits,2,3,0.2839390447318212,0.95,-0.36436564662086113,7.738237953529227e-64,0.25,0.25,0.75
digits,2,4,0.2932056259047756,0.9416666666666667,-0.23932638551235816,1.90001967512574e-27,0.25,0.25,0.75
digits,2,5,0.28381839597080005,0.9444444444444444,-0.16465746470128367,1.2655635395538377e-13,0.25,0.25,0.75
