dataset,alpha,fmc,accuracyMean,accuracyStd,fitnessMean,fitnessStd,accFitnessDifferenceMean,accFitnessDifferenceStd,correlationMean,correlationStd
breast_cancer,0.975,0.1,0.9577694235588974,0.033406692266286224,0.9751428571428571,0.015153202682083835,0.0085652155388471,0.0037811635957251343,0.050485120045682175,0.3332357625782252
breast_cancer,0.975,0.2,0.9314536340852131,0.03144811404719343,0.9770476190476189,0.015033011461795708,0.0156307249373433,0.011535920147495254,0.039945668643390726,0.1905049858869207
breast_cancer,0.975,0.3,0.9542606516290727,0.025224000298490822,0.9826666666666668,0.011831946625443302,0.010537031954887161,0.006974581646812035,0.1612889096980647,0.19978125831846422
breast_cancer,0.985,0.1,0.9524749373433584,0.023767371890361603,0.9847619047619048,0.013617530533033108,0.014322722431077564,0.011425452096460712,0.10640799797937939,0.30006478349529153
breast_cancer,0.985,0.2,0.9577694235588974,0.023850160985618395,0.9885238095238096,0.010804033288479061,0.016331897243107803,0.010476836638826746,0.007065955913180929,0.1795838012148716
breast_cancer,0.985,0.3,0.9507205513784461,0.0309444773990524,0.9857142857142858,0.012088528739466487,0.01975239724310763,0.02176755822566014,0.2195384393561181,0.21330703748924557
breast_cancer,0.995,0.1,0.9472744360902257,0.027430942050746802,0.9894285714285713,0.011659483805479137,0.02535951065162877,0.020690587811941996,0.08375489358003631,0.19546549493478096
breast_cancer,0.995,0.2,0.9454573934837093,0.034718555280268716,0.9933333333333334,0.010089046718774997,0.02017203007518775,0.0180809153310415,0.024204297940053326,0.1683981275948172
breast_cancer,0.995,0.3,0.9525375939849624,0.02349009016318362,0.9895238095238096,0.009470751676302345,0.02547588784461146,0.01691575099199425,0.10774964291040025,0.12347167008989574
digits,0.975,0.1,0.9371135940409683,0.020987213591097464,0.9549326923076924,0.01226381903798529,0.01130576155964996,0.007761069506436409,0.17895352450100396,0.03563279917459836
digits,0.975,0.2,0.93768156424581,0.01918782150475265,0.9645432692307694,0.01058845646435314,0.01241514950997945,0.007557403572255615,0.185795965032755,0.08130572171721577
digits,0.975,0.3,0.9476939788950963,0.0170034942770436,0.9620673076923077,0.0059967597540393595,0.00968046111021577,0.006086715426360675,0.26162288675997286,0.17017767021186642
digits,0.985,0.1,0.928746120422098,0.030386098596652568,0.962673076923077,0.0101712257779695,0.024478954091164108,0.02066802695625732,0.17637725919816427,0.06593149098774154
