dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,1,1,0.28950134565368496,0.9333333333333333,0.22316706140146061,5.426317793437182e-24,0.25,0.25,0.25
digits,1,2,0.2890547535482865,0.9444444444444444,0.19281954570463378,3.33290750488342e-18,0.25,0.25,0.25
digits,1,3,0.28851816640770017,0.95,0.00827632234082966,0.7114545238098113,0.25,0.25,0.25
digits,1,4,0.29008856936148975,0.9583333333333334,0.12300716438035758,3.4175512676242396e-08,0.25,0.25,0.25
digits,1,5,0.28709989472420594,0.9388888888888889,0.1195368234139709,8.242323382362814e-08,0.25,0.25,0.25
digits,2,1,0.2919071400739362,0.9444444444444444,0.04792456977537028,0.03210158152794224,0.25,0.25,0.25
digits,2,2,0.28566328036667793,0.9555555555555556,0.28542649191217906,8.40895997676958e-39,0.25,0.25,0.25
digits,2,3,0.2851080532403897,0.9222222222222223,-0.0487380566682857,0.029289737933613755,0.25,0.25,0.25
digits,2,4,0.29916524940479805,0.9333333333333333,-0.0262693587101626,0.2402870526308321,0.25,0.25,0.25
digits,2,5,0.2891185682735873,0.9305555555555556,0.055361331101517156,0.013279466283819109,0.25,0.25,0.25
digits,3,1,0.2924109687435157,0.8913649025069638,-0.09225545144197728,3.595826579219961e-05,0.25,0.25,0.25
digits,3,2,0.2972746892270239,0.9080779944289693,-0.04823199616237602,0.03101289187589256,0.25,0.25,0.25
digits,3,3,0.28581031442733795,0.8913649025069638,-0.06642839887846475,0.0029567951020226368,0.25,0.25,0.25
digits,3,4,0.28841695796838424,0.9025069637883009,0.047967251358647274,0.03194850334014193,0.25,0.25,0.25
digits,3,5,0.28768356760794794,0.9164345403899722,-0.11327057177410826,3.79827003349691e-07,0.25,0.25,0.25
digits,4,1,0.2895801577418528,0.9498607242339833,0.17214251049789245,9.076572083540145e-15,0.25,0.25,0.25
digits,4,2,0.28726532516362435,0.924791086350975,0.05134247372959132,0.02166535204701539,0.25,0.25,0.25
digits,4,3,0.2793594212822926,0.9442896935933147,-0.11150850547861028,5.75411519981195e-07,0.25,0.25,0.25
digits,4,4,0.2868324588345448,0.9554317548746518,-0.07341550326766048,0.0010175713664371715,0.25,0.25,0.25
digits,4,5,0.2910427709010383,0.9303621169916435,0.17951417105801154,6.021010774684871e-16,0.25,0.25,0.25
digits,5,1,0.2923008611709009,0.9331476323119777,0.09517156576928501,2.0150139544094628e-05,0.25,0.25,0.25
digits,5,2,0.2866799353353903,0.935933147632312,-0.061394518404121384,0.00602310529034292,0.25,0.25,0.25
digits,5,3,0.28164881960213844,0.9220055710306406,0.16179958678897416,3.3534120708448933e-13,0.25,0.25,0.25
digits,5,4,0.2875032308209321,0.9331476323119777,-0.05098049012286769,0.02260922603106001,0.25,0.25,0.25
digits,5,5,0.2918407849727061,0.935933147632312,0.16725788121310478,5.136028720837775e-14,0.25,0.25,0.25
digits,1,1,0.28820394427242907,0.95,0.1535454162546061,5.0757700817636324e-12,0.25,0.25,0.5
digits,1,2,0.28579893503853004,0.9194444444444444,-0.34261168676427867,3.4817532667540766e-56,0.25,0.25,0.5
digits,1,3,0.2812516045913231,0.9305555555555556,-0.16725886283226876,5.134266563574825e-14,0.25,0.25,0.5
digits,1,4,0.28051746347811696,0.95,0.04187865982213288,0.061134532490556594,0.25,0.25,0.5
digits,1,5,0.2839506728829213,0.9388888888888889,0.13906039679500357,4.225852752839858e-10,0.25,0.25,0.5
digits,2,1,0.2795526472673178,0.95,-0.21288943608077562,6.252763100244008e-22,0.25,0.25,0.5
digits,2,2,0.2825379792889963,0.9194444444444444,-0.283110977387314,3.544937641982196e-38,0.25,0.25,0.5
digits,2,3,0.28542939257865324,0.9333333333333333,-0.0912965430665473,4.334340367811227e-05,0.25,0.25,0.5
digits,2,4,0.28379830496165154,0.9555555555555556,0.0007972533657852038,0.971575816312938,0.25,0.25,0.5
digits,2,5,0.2949254150982136,0.9444444444444444,0.06564542753131493,0.0033131250574052534,0.25,0.25,0.5
digits,3,1,0.2787326493581912,0.8802228412256268,-0.3275760541373003,3.0645470482854595e-51,0.25,0.25,0.5
digits,3,2,0.29218342284145443,0.9164345403899722,-0.42654912841921333,3.09609995477332e-89,0.25,0.25,0.5
digits,3,3,0.2864549167819842,0.8885793871866295,0.147491896338444,3.3981741392473896e-11,0.25,0.25,0.5
digits,3,4,0.2773245942696292,0.8969359331476323,-0.5443877072594591,1.046123911553538e-154,0.25,0.25,0.5
digits,3,5,0.27891688913097057,0.8913649025069638,-0.32122963958744866,3.1001429375053888e-49,0.25,0.25,0.5
digits,4,1,0.2757482166506902,0.9025069637883009,-0.0964928729967827,1.541420784507775e-05,0.25,0.25,0.5
digits,4,2,0.28954185693763745,0.9387186629526463,0.06081545835021254,0.006516986873296222,0.25,0.25,0.5
digits,4,3,0.28960336853685725,0.935933147632312,-0.035478730071449305,0.11270201105428207,0.25,0.25,0.5
digits,4,4,0.2888439033985688,0.9442896935933147,-0.2159190636845293,1.582199639609222e-22,0.25,0.25,0.5
digits,4,5,0.27611905413643084,0.9136490250696379,-0.24190126491510955,5.053034172737542e-28,0.25,0.25,0.5
digits,5,1,0.2842807464749594,0.9415041782729805,0.04975926984423364,0.026061811009063646,0.25,0.25,0.5
digits,5,2,0.28170186105777517,0.9108635097493036,-0.18064945419171638,3.923415231910463e-16,0.25,0.25,0.5
digits,5,3,0.2875049077191422,0.9442896935933147,-0.037261333311824726,0.09573050510142897,0.25,0.25,0.5
digits,5,4,0.29643314501679474,0.9303621169916435,0.11391362325447811,3.2589476671123154e-07,0.25,0.25,0.5
digits,5,5,0.2815943998212882,0.9498607242339833,0.07074738949808959,0.001545992114568499,0.25,0.25,0.5
digits,1,1,0.27148789783579574,0.9472222222222222,-0.028013528722349735,0.21047309533670872,0.25,0.25,0.75
digits,1,2,0.284195914337263,0.9222222222222223,-0.09854350327192592,1.0101300523110424e-05,0.25,0.25,0.75
digits,1,3,0.2844391065981875,0.9222222222222223,-0.07277666484216948,0.0011261385912720377,0.25,0.25,0.75
digits,1,4,0.2823007764220531,0.925,0.049755822378659116,0.02607216889678643,0.25,0.25,0.75
digits,1,5,0.2767869604786482,0.9083333333333333,-0.4366348821986847,6.8988439455779e-94,0.25,0.25,0.75
digits,2,1,0.2777642655414082,0.9555555555555556,-0.044503394397891236,0.046591599847413144,0.25,0.25,0.75
digits,2,2,0.2846110722722707,0.9305555555555556,-0.30998968544182537,8.424750726016423e-46,0.25,0.25,0.75
digits,2,3,0.2825705199634574,0.9333333333333333,0.05107931813760875,0.02234805215359952,0.25,0.25,0.75
digits,2,4,0.29059583256513966,0.9333333333333333,-0.0453574041923133,0.0425377516010061,0.25,0.25,0.75
digits,2,5,0.28598806437996466,0.9361111111111111,-0.41539840860713967,2.8382168323661944e-84,0.25,0.25,0.75
digits,3,1,0.28019115703935293,0.8997214484679665,-0.041592308606716935,0.06292707059939538,0.25,0.25,0.75
digits,3,2,0.2762179819036022,0.9164345403899722,0.21897325793317365,3.8762303467044354e-23,0.25,0.25,0.75
digits,3,3,0.28578479410696694,0.8885793871866295,0.19348695802434795,2.541938888989045e-18,0.25,0.25,0.75
digits,3,4,0.2835654449821873,0.8941504178272981,-0.09830423630461721,1.0616442625242768e-05,0.25,0.25,0.75
digits,3,5,0.2820957546324304,0.871866295264624,-0.28478960444082463,1.250846228942338e-38,0.25,0.25,0.75
digits,4,1,0.28396091001770074,0.9331476323119777,-0.20926842678067906,3.144184134458659e-21,0.25,0.25,0.75
digits,4,2,0.2730858743843233,0.9025069637883009,-0.3605155695696555,1.9372253103546731e-62,0.25,0.25,0.75
digits,4,3,0.2914706601042802,0.9498607242339833,0.06081863824455606,0.006514178169479668,0.25,0.25,0.75
digits,4,4,0.2742007158336034,0.9108635097493036,-0.38210826578715973,1.5528731219082438e-70,0.25,0.25,0.75
digits,4,5,0.2850364438973253,0.9442896935933147,-0.1477951230408904,3.095120708297576e-11,0.25,0.25,0.75
digits,5,1,0.2771601310379775,0.9108635097493036,-0.20433896001257118,2.7023452447194893e-20,0.25,0.25,0.75
digits,5,2,0.2756581488434631,0.9052924791086351,0.08123486298069262,0.0002761813035983714,0.25,0.25,0.75
digits,5,3,0.28266574743817174,0.9387186629526463,0.0037817419572833836,0.8657812931919455,0.25,0.25,0.75
digits,5,4,0.29575722311846026,0.9108635097493036,-0.19721773093532735,5.490014399108803e-19,0.25,0.25,0.75
digits,5,5,0.28517853385533115,0.924791086350975,-0.19579506391693566,9.884785178792536e-19,0.25,0.25,0.75
digits,1,1,0.2743131112385851,0.9388888888888889,0.03543996428427475,0.1130958462899505,0.25,0.25,1.0
digits,1,2,0.2777632181235273,0.9083333333333333,-0.20403843411544303,3.075593281905382e-20,0.25,0.25,1.0
digits,1,3,0.2815506248459591,0.9416666666666667,-0.3342444987810885,2.1254377828732645e-53,0.25,0.25,1.0
digits,1,4,0.2723667428640848,0.9416666666666667,0.16516900798930148,1.061047550111587e-13,0.25,0.25,1.0
digits,1,5,0.2832786991749814,0.9277777777777778,-0.4347248452360195,5.3942953618876385e-93,0.25,0.25,1.0
digits,2,1,0.27931720228077944,0.9444444444444444,-0.25503045067350905,4.612329010415111e-31,0.25,0.25,1.0
digits,2,2,0.2811098826229446,0.95,-0.3158313577332246,1.4428733384232245e-47,0.25,0.25,1.0
