Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
digits,10,0,1,0.9166666666666666,0.9178504027154064,0.9130628848124903,0.9141340365933607,0.9583333333333334,0.962123362858657,0.9576310620960182,0.9587317747075709
digits,10,0,2,0.9361111111111111,0.9398889923663718,0.934732249262048,0.9363005491260701,0.9527777777777777,0.9553912458324225,0.9532327978283861,0.9536875313374532
digits,10,0,3,0.9025069637883009,0.9019902279093456,0.9002653849418556,0.8994960234427569,0.9220055710306406,0.9221202571937865,0.9203300547491725,0.91965354449896
digits,10,0,4,0.9275766016713092,0.9285415011478841,0.9268186738514064,0.9262369155413375,0.958217270194986,0.957858692265004,0.9554163235030547,0.9561822132926376
digits,10,0,5,0.9331476323119777,0.9355251864217788,0.9343113642506748,0.9336901959168955,0.9387186629526463,0.9397858119526201,0.9390334965571914,0.9389712315140522
digits,10,1,1,0.9333333333333333,0.9321617775955454,0.9283055989194097,0.9292346333138701,0.9638888888888889,0.9658335834835491,0.9616844107081903,0.9633133333306783
digits,10,1,2,0.9638888888888889,0.9653455297572944,0.9648541513247395,0.9647177593467283,0.9527777777777777,0.956770538577627,0.953206399676988,0.9539054808513932
digits,10,1,3,0.9108635097493036,0.9106584916186435,0.9107517507002802,0.9077311848497478,0.947075208913649,0.9465686274509804,0.9479712248535778,0.9466303373079535
digits,10,1,4,0.9025069637883009,0.9035988913479125,0.906584934014008,0.9041278712902935,0.9526462395543176,0.9537538345536081,0.9549199053598091,0.9526832717680322
digits,10,1,5,0.935933147632312,0.9417155401088484,0.9355408634153584,0.9370507535524683,0.9610027855153204,0.9608439651427455,0.9606692650588025,0.960261659116564
digits,10,2,1,0.9361111111111111,0.9339767524800731,0.9338172203537878,0.9333274650338156,0.9527777777777777,0.9529949322399268,0.9532606534330157,0.9526794780442505
digits,10,2,2,0.9361111111111111,0.9398068159910264,0.9361582742174848,0.937157153539826,0.9694444444444444,0.9720113934819817,0.969320240790829,0.9702602369255631
digits,10,2,3,0.9052924791086351,0.9056060861645088,0.9057894703335879,0.9039777448995515,0.9303621169916435,0.9314191486747594,0.9303630421865716,0.9288575028289949
digits,10,2,4,0.9220055710306406,0.9235595377528876,0.922346030476324,0.9221905660329739,0.9526462395543176,0.9537042607768209,0.9527255200674695,0.9516999610720571
digits,10,2,5,0.9387186629526463,0.9403895462688789,0.9382253653096313,0.9388847907308348,0.9526462395543176,0.9550972739767305,0.9532406547743927,0.9537440272296948
digits,10,3,1,0.9388888888888889,0.941885117683437,0.9372198638096227,0.9386055917797445,0.9638888888888889,0.962482565535414,0.9615133800555794,0.9616842312884237
digits,10,3,2,0.9527777777777777,0.955637030453207,0.9531957363207363,0.9531988699170595,0.9694444444444444,0.9713774787687832,0.9692985355485357,0.9700405429701864
digits,10,3,3,0.9136490250696379,0.9123674242424242,0.9114866416263476,0.9114637001760075,0.9415041782729805,0.9424438378455596,0.9404685828877005,0.9396933125264862
digits,10,3,4,0.9164345403899722,0.9174498615664699,0.9164702583246921,0.9138851464263528,0.9498607242339833,0.950763824322524,0.9469654108799409,0.9479013605403634
digits,10,3,5,0.9387186629526463,0.9430834078202499,0.9391112805366593,0.9394501818588941,0.9637883008356546,0.9657803553452464,0.9631121363346908,0.9641106475930481
digits,10,4,1,0.9416666666666667,0.9422407339111194,0.9393705800375823,0.9404368449412244,0.9666666666666667,0.9661387704416191,0.9647428633382542,0.9653195340768196
digits,10,4,2,0.9416666666666667,0.9452677591736448,0.9415157916048008,0.9419144670971713,0.9555555555555556,0.9593048439958457,0.9557316522022405,0.9563726566686679
digits,10,4,3,0.9080779944289693,0.9052144027144028,0.9070852644087939,0.9056494850297543,0.9220055710306406,0.9202371948224484,0.9212227102962396,0.9200622349225652
digits,10,4,4,0.9080779944289693,0.9092216249566933,0.9075993803756219,0.9068275843660812,0.958217270194986,0.9571630122928564,0.9564043729959291,0.9559119254744706
digits,10,4,5,0.9220055710306406,0.9265150478796171,0.9235750420430093,0.9230559090899574,0.9554317548746518,0.9557089600063735,0.9561607844969353,0.9557791867084976
digits,10,5,1,0.9388888888888889,0.9422708023978442,0.9370008671200379,0.9390763877856936,0.9611111111111111,0.9622412365801679,0.9597778773438564,0.9605648851821152
