Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
pima,10,0,1,0.7207792207792207,0.7196207491369083,0.7207792207792207,0.72016902983565,0.7597402597402597,0.7538901465506971,0.7597402597402597,0.7539924190641895
pima,10,0,2,0.7077922077922078,0.7110578474935957,0.7077922077922078,0.7091563898286587,0.7337662337662337,0.7313656040928768,0.7337662337662337,0.7322801092712597
pima,10,0,3,0.7272727272727273,0.7211263579188109,0.7272727272727273,0.7221308103661044,0.7142857142857143,0.7104072398190046,0.7142857142857143,0.7118518518518518
pima,10,0,4,0.7647058823529411,0.7626727584237577,0.7647058823529411,0.7635524798154555,0.7647058823529411,0.7609710550887021,0.7647058823529411,0.7622844089091947
pima,10,0,5,0.738562091503268,0.733143632765867,0.738562091503268,0.7353220036490826,0.7320261437908496,0.7162804515745692,0.7320261437908496,0.7161462115710482
pima,10,1,1,0.7467532467532467,0.7395849488872746,0.7467532467532467,0.7389951134515554,0.7337662337662337,0.7255803069756558,0.7337662337662337,0.7256102474747123
pima,10,1,2,0.7402597402597403,0.7386363636363636,0.7402597402597403,0.7393201842469341,0.6948051948051948,0.6902986794636338,0.6948051948051948,0.6918044684542146
pima,10,1,3,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7337662337662337,0.727525804877167,0.7337662337662337,0.7279788172992058
pima,10,1,4,0.7254901960784313,0.7311068757399867,0.7254901960784313,0.7278008846636298,0.738562091503268,0.7299400240576711,0.738562091503268,0.7308218081826603
pima,10,1,5,0.7581699346405228,0.7504184600669536,0.7581699346405228,0.7525602484560333,0.7581699346405228,0.7504184600669536,0.7581699346405228,0.7525602484560333
pima,10,2,1,0.7142857142857143,0.7051357733175915,0.7142857142857143,0.706511175898931,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092
pima,10,2,2,0.6948051948051948,0.6981807193335485,0.6948051948051948,0.6962300071543768,0.7012987012987013,0.6941007106101446,0.7012987012987013,0.6946026139002041
pima,10,2,3,0.7727272727272727,0.7757197307598735,0.7727272727272727,0.7739253312580638,0.6948051948051948,0.6864730020426978,0.6948051948051948,0.6881708393429918
pima,10,2,4,0.7450980392156863,0.7400602954951551,0.7450980392156863,0.7417396471104911,0.7124183006535948,0.7075007780890135,0.7124183006535948,0.7094587220001269
pima,10,2,5,0.7777777777777778,0.7734222963580761,0.7777777777777778,0.7750237031017202,0.7777777777777778,0.7705014749262538,0.7777777777777778,0.7717542396441479
pima,10,3,1,0.7402597402597403,0.7364035964035964,0.7402597402597403,0.7378112083994437,0.7077922077922078,0.6957390435651305,0.7077922077922078,0.6944203583363373
pima,10,3,2,0.6753246753246753,0.6695363460069342,0.6753246753246753,0.6713892168437624,0.7272727272727273,0.7229665071770334,0.7272727272727273,0.7139146567717997
pima,10,3,3,0.7467532467532467,0.7441876263098008,0.7467532467532467,0.7451770948151937,0.7077922077922078,0.7114102668072337,0.7077922077922078,0.7093325687603679
pima,10,3,4,0.7516339869281046,0.7494663366964909,0.7516339869281046,0.7504165064718697,0.7320261437908496,0.7266013859042881,0.7320261437908496,0.7284955264494906
pima,10,3,5,0.7647058823529411,0.7546505781799899,0.7647058823529411,0.7542584601408131,0.7254901960784313,0.7127473414995289,0.7254901960784313,0.7157691829374456
pima,10,4,1,0.7467532467532467,0.7422917218835586,0.7467532467532467,0.7436948559373376,0.6753246753246753,0.6726410844057903,0.6753246753246753,0.6738690041510889
pima,10,4,2,0.7337662337662337,0.7313656040928768,0.7337662337662337,0.7322801092712597,0.7402597402597403,0.7365491651205937,0.7402597402597403,0.7294705294705295
pima,10,4,3,0.7922077922077922,0.7890222984562607,0.7922077922077922,0.7882901412313177,0.7402597402597403,0.7338842975206612,0.7402597402597403,0.7321678321678322
pima,10,4,4,0.7908496732026143,0.7929843093241786,0.7908496732026143,0.7917770378591688,0.7189542483660131,0.7082294299833753,0.7189542483660131,0.7095903129791469
pima,10,4,5,0.7712418300653595,0.7657836919122829,0.7712418300653595,0.7676172436774352,0.7189542483660131,0.7045986148420226,0.7189542483660131,0.7077632863099992
pima,20,0,1,0.7337662337662337,0.730669672988348,0.7337662337662337,0.7319301388266906,0.7532467532467533,0.7473542791147147,0.7532467532467533,0.7409289583202626
pima,20,0,2,0.7012987012987013,0.6976911976911978,0.7012987012987013,0.6990127219719056,0.7402597402597403,0.7378503075871496,0.7402597402597403,0.7275377683540949
pima,20,0,3,0.8116883116883117,0.8094076112351384,0.8116883116883117,0.8096306910646428,0.7337662337662337,0.729557136181922,0.7337662337662337,0.7308571839189778
pima,20,0,4,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.772057772057772,0.7777777777777778,0.7711985369552612
pima,20,0,5,0.803921568627451,0.7983342009370119,0.803921568627451,0.798606682038954,0.7777777777777778,0.7696414950419527,0.7777777777777778,0.7699083861874558
pima,20,1,1,0.7792207792207793,0.7744982290436836,0.7792207792207793,0.7732131813764467,0.7467532467532467,0.739651652695131,0.7467532467532467,0.7351643105581591
pima,20,1,2,0.7077922077922078,0.7068256395440334,0.7077922077922078,0.7072787541361544,0.7077922077922078,0.7002369699617407,0.7077922077922078,0.6986170353444804
pima,20,1,3,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7727272727272727,0.7736398165047107,0.7727272727272727,0.7731501536811272
pima,20,1,4,0.7843137254901961,0.7877296373094693,0.7843137254901961,0.7857115889139669,0.7450980392156863,0.7400602954951551,0.7450980392156863,0.7417396471104911
pima,20,1,5,0.7777777777777778,0.7696414950419527,0.7777777777777778,0.7699083861874558,0.7450980392156863,0.7348575057553386,0.7450980392156863,0.7371511665601526
pima,20,2,1,0.7597402597402597,0.7538901465506971,0.7597402597402597,0.7539924190641895,0.7012987012987013,0.6888585099111415,0.7012987012987013,0.688825590794173
pima,20,2,2,0.7077922077922078,0.7050767414403777,0.7077922077922078,0.7061610955416266,0.6883116883116883,0.6815184815184815,0.6883116883116883,0.683001443001443
pima,20,2,3,0.7597402597402597,0.7588613406795225,0.7597402597402597,0.7592678049530841,0.7142857142857143,0.7065217391304348,0.7142857142857143,0.7072149248048734
pima,20,2,4,0.7712418300653595,0.7723504747811073,0.7712418300653595,0.771762104510129,0.7777777777777778,0.7724029283662313,0.7777777777777778,0.7727513227513227
pima,20,2,5,0.803921568627451,0.7980885718131646,0.803921568627451,0.7969779878124612,0.7647058823529411,0.7546505781799899,0.7647058823529411,0.7542584601408131
pima,20,3,1,0.7727272727272727,0.7689725240745648,0.7727272727272727,0.7699825630206876,0.7272727272727273,0.7214837049742711,0.7272727272727273,0.7232230932973366
pima,20,3,2,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7662337662337663,0.7641676505312869,0.7662337662337663,0.7581344982829848
pima,20,3,3,0.7792207792207793,0.7777104377104377,0.7792207792207793,0.7783287419651056,0.7727272727272727,0.7705197888664326,0.7727272727272727,0.7632330536517765
pima,20,3,4,0.7908496732026143,0.7908496732026143,0.7908496732026143,0.7908496732026143,0.7254901960784313,0.717280740486353,0.7254901960784313,0.7192810457516341
pima,20,3,5,0.7647058823529411,0.7565851119208745,0.7647058823529411,0.7583280184467449,0.738562091503268,0.7243367935409459,0.738562091503268,0.724414155906265
pima,20,4,1,0.7402597402597403,0.7349148493016417,0.7402597402597403,0.7364029459974635,0.7207792207792207,0.7102987102987104,0.7207792207792207,0.7056353784464383
pima,20,4,2,0.7402597402597403,0.7363078098372215,0.7402597402597403,0.7371113734750099,0.7012987012987013,0.6976911976911978,0.7012987012987013,0.6990127219719056
pima,20,4,3,0.7532467532467533,0.7515151515151515,0.7532467532467533,0.7522497704315887,0.7207792207792207,0.7130757112408488,0.7207792207792207,0.7129930384342782
pima,20,4,4,0.7581699346405228,0.7570806100217865,0.7581699346405228,0.7575916428394815,0.7843137254901961,0.7791278033412097,0.7843137254901961,0.7786969514670423
pima,20,4,5,0.7843137254901961,0.7770500912915773,0.7843137254901961,0.7775894486278215,0.7058823529411765,0.6839362926556132,0.7058823529411765,0.6852499991799541
pima,30,0,1,0.7272727272727273,0.7231468531468531,0.7272727272727273,0.7247017688194158,0.7662337662337663,0.7637574290116663,0.7662337662337663,0.7525080424162993
pima,30,0,2,0.7272727272727273,0.7229535170711642,0.7272727272727273,0.7239669421487602,0.7662337662337663,0.7637325637325638,0.7662337662337663,0.7644447389345349
pima,30,0,3,0.7922077922077922,0.7897984368572604,0.7922077922077922,0.7904377104377104,0.7662337662337663,0.7618639222412807,0.7662337662337663,0.7618264088852323
pima,30,0,4,0.7908496732026143,0.7877061935885465,0.7908496732026143,0.7886972523637287,0.7450980392156863,0.7385741951101429,0.7450980392156863,0.7401692389085067
pima,30,0,5,0.7712418300653595,0.7641977522716403,0.7712418300653595,0.7659353701611126,0.7647058823529411,0.754325259515571,0.7647058823529411,0.7519727403156385
pima,30,1,1,0.7077922077922078,0.7043099675880944,0.7077922077922078,0.7057769816390507,0.7207792207792207,0.7103765799417974,0.7207792207792207,0.7080016757436112
pima,30,1,2,0.7207792207792207,0.7217651215867095,0.7207792207792207,0.72124152752425,0.7142857142857143,0.7074829931972788,0.7142857142857143,0.7024175824175825
pima,30,1,3,0.7662337662337663,0.7646127946127946,0.7662337662337663,0.7652892561983471,0.7597402597402597,0.7553494124922697,0.7597402597402597,0.7558740110464248
pima,30,1,4,0.7973856209150327,0.7932340837569596,0.7973856209150327,0.7934678565683002,0.7581699346405228,0.7513175530959388,0.7581699346405228,0.7518723395236535
pima,30,1,5,0.8235294117647058,0.8197604298009977,0.8235294117647058,0.8165025286132552,0.7516339869281046,0.7390212283260411,0.7516339869281046,0.7355891028977962
pima,30,2,1,0.7142857142857143,0.7119694031458738,0.7142857142857143,0.7130047236529583,0.7532467532467533,0.7473542791147147,0.7532467532467533,0.7409289583202626
pima,30,2,2,0.7467532467532467,0.7459276119069934,0.7467532467532467,0.7463082535846671,0.6883116883116883,0.6844829244829244,0.6883116883116883,0.6859263185793798
pima,30,2,3,0.7402597402597403,0.7423915882967608,0.7402597402597403,0.7411992962725464,0.7597402597402597,0.7561739611996607,0.7597402597402597,0.7571150196341995
pima,30,2,4,0.7908496732026143,0.7877061935885465,0.7908496732026143,0.7886972523637287,0.803921568627451,0.8010737628384688,0.803921568627451,0.8019036740909956
pima,30,2,5,0.7973856209150327,0.790969976061254,0.7973856209150327,0.7893177180374411,0.7516339869281046,0.7400703871292106,0.7516339869281046,0.7406061523708583
pima,30,3,1,0.7597402597402597,0.7535895907988931,0.7597402597402597,0.7523799794283988,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745
pima,30,3,2,0.7207792207792207,0.7168549739070943,0.7207792207792207,0.7180338753942815,0.7207792207792207,0.7160752291187074,0.7207792207792207,0.7060044074750675
pima,30,3,3,0.7857142857142857,0.7865798516910834,0.7857142857142857,0.7861130020422057,0.7272727272727273,0.7211263579188109,0.7272727272727273,0.7221308103661044
pima,30,3,4,0.7908496732026143,0.7929843093241786,0.7908496732026143,0.7917770378591688,0.7777777777777778,0.7758791801510247,0.7777777777777778,0.7766884531590414
pima,30,3,5,0.803921568627451,0.7980885718131646,0.803921568627451,0.7969779878124612,0.7516339869281046,0.7391997449386258,0.7516339869281046,0.732780291603821
pima,30,4,1,0.7532467532467533,0.7496603396603396,0.7532467532467533,0.7509206479794716,0.7727272727272727,0.7689267254484645,0.7727272727272727,0.762326945372707
pima,30,4,2,0.7272727272727273,0.7315440520209103,0.7272727272727273,0.728916827852998,0.7337662337662337,0.728888961447101,0.7337662337662337,0.7236425505904628
pima,30,4,3,0.7532467532467533,0.7552899686520376,0.7532467532467533,0.7541393314589191,0.7662337662337663,0.7633347045111751,0.7662337662337663,0.7642424242424242
pima,30,4,4,0.7973856209150327,0.7964885300525439,0.7973856209150327,0.7969011061628087,0.738562091503268,0.7324988779203947,0.738562091503268,0.7343296292876126
pima,30,4,5,0.7908496732026143,0.7838650334275588,0.7908496732026143,0.7834431869999585,0.7516339869281046,0.7411944182707407,0.7516339869281046,0.7428387845624508
pima,40,0,1,0.7662337662337663,0.7610055001359349,0.7662337662337663,0.7613786213786214,0.7337662337662337,0.7251114954546856,0.7337662337662337,0.7236747438378277
