Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
wine,10,0,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0
wine,10,0,2,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,10,0,3,0.9166666666666666,0.9222222222222223,0.9166666666666666,0.9162383315609122,0.8888888888888888,0.915032679738562,0.8888888888888888,0.8883597883597883
wine,10,0,4,0.9428571428571428,0.9460317460317461,0.9428571428571428,0.9432048681541584,0.9142857142857143,0.9376623376623378,0.9142857142857143,0.9179626181441064
wine,10,0,5,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767,1.0,1.0,1.0,1.0
wine,10,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9537037037037037,0.9444444444444444,0.9441919191919192
wine,10,1,2,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374
wine,10,1,3,1.0,1.0,1.0,1.0,0.9444444444444444,0.9518518518518518,0.9444444444444444,0.9445767195767196
wine,10,1,4,0.9714285714285714,0.9746031746031747,0.9714285714285714,0.9716477895506029,0.9428571428571428,0.9460317460317461,0.9428571428571428,0.9432048681541584
wine,10,1,5,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767
wine,10,2,1,0.9444444444444444,0.946969696969697,0.9444444444444444,0.9446268929027551,1.0,1.0,1.0,1.0
wine,10,2,2,0.8611111111111112,0.8865121806298277,0.8611111111111112,0.8664453927611823,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374
wine,10,2,3,0.9722222222222222,0.9742063492063492,0.9722222222222222,0.9722885968405682,1.0,1.0,1.0,1.0
wine,10,2,4,0.9142857142857143,0.9218559218559217,0.9142857142857143,0.9147995198079232,0.8857142857142857,0.892063492063492,0.8857142857142857,0.8877426832802087
wine,10,2,5,0.9714285714285714,0.9732142857142857,0.9714285714285714,0.9711375212224108,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767
