dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
digits,1,1,0.25,0.25,0.01,0.32066147451905963,0.41472511505336646,5.580951653926527e-84,0.9533333333333334,0.9526128835420516,0.9516114873987833,0.9517743499325443
digits,1,2,0.25,0.25,0.01,0.3269970312338733,0.19259162414790604,3.6551532910459664e-18,0.96,0.9574213171228647,0.9584301469938493,0.9576020231698358
digits,1,3,0.25,0.25,0.01,0.32867010526453244,0.651420402962167,6.868823653101143e-242,0.9577777777777777,0.9577414094271133,0.9578223422948661,0.9571403741509688
digits,2,1,0.25,0.25,0.01,0.3190463702963703,0.6006195106548776,2.1972567585369978e-196,0.9487750556792873,0.9505436521985328,0.9486236309299336,0.9484850268512472
digits,2,2,0.25,0.25,0.01,0.3153915402909211,0.17641553910388477,1.9105705928112925e-15,0.9487750556792873,0.9510097745475103,0.9487622511749368,0.9482340141568872
digits,2,3,0.25,0.25,0.01,0.3209628992152212,0.43290308122577026,3.7887056608768745e-92,0.9242761692650334,0.9275278476716924,0.924355309437631,0.9241487678447016
digits,3,1,0.25,0.25,0.01,0.32161507452529126,0.6439588669897167,1.1645393087875109e-234,0.9465478841870824,0.9479123182924066,0.9471262342228478,0.9468961915785187
digits,3,2,0.25,0.25,0.01,0.32347933088296865,0.044014224503556125,0.049056633477315786,0.9198218262806236,0.9221033026315734,0.9191236633785753,0.9189708862361161
digits,3,3,0.25,0.25,0.01,0.3174767835077432,0.385338643834661,8.436763829390832e-72,0.9175946547884187,0.9193068911889529,0.9166213895816032,0.9162896613201896
digits,4,1,0.25,0.25,0.01,0.312006560719409,0.18386626746656687,1.1481479964873004e-16,0.9510022271714922,0.9514971677584493,0.951029544646598,0.9509194884045087
digits,4,2,0.25,0.25,0.01,0.3213715660844144,0.4937026384256596,2.2314845036849434e-123,0.9576837416481069,0.9584504631639892,0.9572821778124891,0.9575805945815841
digits,4,3,0.25,0.25,0.01,0.33693132747312315,0.5931572242617401,2.24687908318674e-190,0.9532293986636972,0.953488421939009,0.9537638201148001,0.9531617630816932
digits,1,1,0.25,0.25,0.05,0.32049080841186106,0.3542834433365734,3.2394922985524773e-60,0.9555555555555556,0.9545578738944556,0.9550772801842168,0.9540869383700405
digits,1,2,0.25,0.25,0.05,0.31498167402772664,0.4497635994528679,3.486694020077047e-100,0.9666666666666667,0.9664898126198158,0.9653174991153366,0.9656903727183244
digits,1,3,0.25,0.25,0.05,0.3243217423987548,-0.152984792418306,6.072682981803802e-12,0.9577777777777777,0.9580807551186487,0.9552897354350071,0.9563767838346207
digits,2,1,0.25,0.25,0.05,0.3174137166439798,0.1571872352968088,1.5580798867688587e-12,0.9354120267260579,0.9364002072399005,0.9351614738468189,0.9350364206977962
digits,2,2,0.25,0.25,0.05,0.31877038802271,0.5256881049220262,1.5868643760308276e-142,0.9487750556792873,0.9510326101480739,0.9477175017729962,0.948393622865092
digits,2,3,0.25,0.25,0.05,0.31015132647884364,0.4758343519585879,1.5525927888644385e-113,0.9532293986636972,0.955936475689587,0.9535349784476642,0.9533037532915405
digits,3,1,0.25,0.25,0.05,0.31546318209940505,0.3851875997968999,9.67475984570133e-72,0.9443207126948775,0.9444380305571226,0.9452868426422782,0.9442424973434231
digits,3,2,0.25,0.25,0.05,0.3180117214943067,0.5704934806233701,4.696568757201628e-173,0.933184855233853,0.9362028280013435,0.9325398015040157,0.9327329699910937
digits,3,3,0.25,0.25,0.05,0.3183938679139917,0.1794990388747597,6.055366663885193e-16,0.9376391982182628,0.9387377956364628,0.9368411405848349,0.9371891845701803
digits,4,1,0.25,0.25,0.05,0.3028922856469296,0.28110036577509145,1.2229194474740587e-37,0.9576837416481069,0.9589827366684436,0.958415043082397,0.9584571637641448
digits,4,2,0.25,0.25,0.05,0.31334718301022646,0.24413293303323325,1.5830626446305416e-28,0.955456570155902,0.9549761011404254,0.9546088779540434,0.9545903560142724
digits,4,3,0.25,0.25,0.05,0.30636123093166434,0.05164987591246898,0.020890898509200794,0.955456570155902,0.9552192703912405,0.9537963480887989,0.953823259675719
digits,1,1,0.25,0.5,0.01,0.4007633806252227,0.07070663147968785,0.0015557380919705322,0.9533333333333334,0.952331784728434,0.9520218423185357,0.9519644767750657
digits,1,2,0.25,0.5,0.01,0.4153856372746869,0.12354520143262981,2.9749952442899505e-08,0.9533333333333334,0.9528963767386417,0.9523551215267032,0.9518781869385411
digits,1,3,0.25,0.5,0.01,0.40992769449619293,0.6336145886702607,5.7560918752298e-225,0.9733333333333334,0.9723741886513115,0.9717273266502756,0.971897564626242
digits,2,1,0.25,0.5,0.01,0.39807362861310236,0.599222363805591,3.0139409743430343e-195,0.9510022271714922,0.953541464013371,0.9515154759153154,0.9506305617191388
digits,2,2,0.25,0.5,0.01,0.4102455468794478,0.21772633993158497,6.901077951490228e-23,0.9376391982182628,0.9389892151224253,0.9383285359539876,0.9362645279426157
digits,2,3,0.25,0.5,0.01,0.4020809411511166,0.3406105376526344,1.6439074633109838e-55,0.9487750556792873,0.9502682148950388,0.9488481174439573,0.9483920609949283
