dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,1,1,0.25,0.25,0.01,0.3058275237318582,-0.10484823013789367,2.614636687257826e-06,0.7135416666666666,0.6872104992279979,0.6714386709084482,0.6764606758785502
pima,1,2,0.25,0.25,0.01,0.29940079542277187,0.1313542786445613,3.7189379039459598e-09,0.7291666666666666,0.7054328358208956,0.702721809826794,0.7039848197343453
pima,1,3,0.25,0.25,0.01,0.3120772667125512,-0.031753485626515976,0.15574479070727942,0.7083333333333334,0.6832803110639802,0.6832803110639802,0.6832803110639802
pima,2,1,0.25,0.25,0.01,0.29604935571587115,-0.1746999357436649,3.5886976246342775e-15,0.75,0.7107212475633529,0.7029157802527843,0.706384605581751
pima,2,2,0.25,0.25,0.01,0.30925652398219317,-0.2869495306187532,3.2396592075511725e-39,0.734375,0.6909722222222222,0.6651858340633212,0.6733277731442869
pima,2,3,0.25,0.25,0.01,0.3027312004663839,0.06231797607481182,0.005304892006206223,0.7760416666666666,0.7465277777777778,0.713239894881742,0.7245704753961635
pima,3,1,0.25,0.25,0.01,0.29779975204771025,-0.37905661870576784,2.360828201421164e-69,0.6875,0.6591826845420772,0.616118769883351,0.6177836761778368
pima,3,2,0.25,0.25,0.01,0.2880075948691835,-0.017195629269895013,0.4421379482831034,0.7395833333333334,0.7245611531325817,0.6854012018381054,0.6941506308143239
pima,3,3,0.25,0.25,0.01,0.3038625534957265,-0.17478847687142093,3.4743633189881306e-15,0.7083333333333334,0.683459397745112,0.6514669494521033,0.6574487065120429
pima,4,1,0.25,0.25,0.01,0.3052405657538468,-0.09711808156788286,1.3562608922351252e-05,0.703125,0.6761971830985916,0.6474019088016967,0.6529570318693516
pima,4,2,0.25,0.25,0.01,0.2983745361698549,0.21674522528456233,1.0837738706717635e-22,0.71875,0.7057018252301728,0.6500530222693531,0.656005308560053
pima,4,3,0.25,0.25,0.01,0.2939801132397548,-0.009257648632317294,0.6790464637834739,0.7239583333333334,0.7048611111111112,0.6668434075645104,0.6742533371746855
pima,1,1,0.25,0.25,0.05,0.28002004152212323,-0.23907419697935584,2.1613693612967295e-27,0.6770833333333334,0.6506809451751834,0.6525273948391658,0.6515222482435598
pima,1,2,0.25,0.25,0.05,0.3082110786782048,-0.032423538136163325,0.14719820320723093,0.6875,0.6595820895522388,0.6574761399787912,0.6584440227703985
pima,1,3,0.25,0.25,0.05,0.2966298623237211,-0.014147827019087882,0.5271607151596374,0.7239583333333334,0.7047908232118758,0.7145634499823259,0.7079135451649015
pima,2,1,0.25,0.25,0.05,0.28531348382321214,-0.04426492068398172,0.04777999010597551,0.765625,0.7304945054945056,0.709986234513828,0.7178591254939098
pima,2,2,0.25,0.25,0.05,0.29179354593881657,-0.1222692279185466,4.129569237609145e-08,0.765625,0.7361793611793612,0.6924665248404456,0.7050691244239631
pima,2,3,0.25,0.25,0.05,0.28624593291525746,-0.23856370220124448,2.8043298452237527e-27,0.7552083333333334,0.7173076923076923,0.6979727193092229,0.7053195310714169
pima,3,1,0.25,0.25,0.05,0.2999203419016326,-0.13475984910876612,1.4440271732628266e-09,0.7083333333333334,0.6959023539668701,0.632378932484977,0.635129632143342
pima,3,2,0.25,0.25,0.05,0.28282197410373455,0.17244517591512964,8.138588408045407e-15,0.734375,0.7167605633802817,0.6813361611876988,0.6894878706199461
pima,3,3,0.25,0.25,0.05,0.29432030878283294,-0.12332493016266442,3.1490151762861e-08,0.7395833333333334,0.7329483377555799,0.6758571933545423,0.6848739495798319
pima,4,1,0.25,0.25,0.05,0.30116883908882325,-0.0002995465219627922,0.9893184376397299,0.7447916666666666,0.7386363636363636,0.6831035701661364,0.692779936648924
pima,4,2,0.25,0.25,0.05,0.3058493458170182,-0.07568812660187385,0.0007050193044889622,0.6979166666666666,0.6705796038151137,0.6369741958289148,0.6417910447761195
pima,4,3,0.25,0.25,0.05,0.3031907460671102,0.28635797257993123,4.695690192641843e-39,0.734375,0.713768115942029,0.6876988335100742,0.6949817774039809
pima,1,1,0.25,0.5,0.01,0.41199382317029376,0.04864777510376405,0.029590976528725863,0.703125,0.6771821631878558,0.676033934252386,0.6765861875350927
pima,1,2,0.25,0.5,0.01,0.39316922064710175,0.021790839221216187,0.3300454394985066,0.7239583333333334,0.6991315136476427,0.6891127606928242,0.6929668406601696
pima,1,3,0.25,0.5,0.01,0.384104277297202,-0.09028665577195279,5.266410259529454e-05,0.7447916666666666,0.7227229601518026,0.7212796041003888,0.7219775998108691
pima,2,1,0.25,0.5,0.01,0.4130971775143326,0.10584189215870204,2.0978341094383146e-06,0.78125,0.7545121056493029,0.7170566887748717,0.7294685990338164
pima,2,2,0.25,0.5,0.01,0.4103484163629154,-0.21402122478097685,3.7512889381997796e-22,0.7708333333333334,0.7404255319148936,0.7050431735702666,0.71658615136876
pima,2,3,0.25,0.5,0.01,0.40835267262195873,-0.44202018553467837,1.947575081504819e-96,0.7291666666666666,0.6843537414965986,0.6526091853335002,0.6611918012759603
pima,3,1,0.25,0.5,0.01,0.393722626103307,0.21430621347419293,3.2969174180368336e-22,0.7395833333333334,0.7269258987527513,0.6822198656769176,0.6911991765311374
pima,3,2,0.25,0.5,0.01,0.3989351978179111,0.04613566029161178,0.03910711009543973,0.7239583333333334,0.7068195354377605,0.6636620714033228,0.671052206238888
pima,3,3,0.25,0.5,0.01,0.40091196846528065,-0.38590713663246634,5.036005498768784e-72,0.6927083333333334,0.6623626373626373,0.6392718275008837,0.6440310467272099
pima,4,1,0.25,0.5,0.01,0.4058720157689042,-0.016102307080039156,0.471701400231084,0.75,0.7359198998748435,0.6998939554612937,0.7090909090909091
pima,4,2,0.25,0.5,0.01,0.41397637290842826,-0.00613806458949997,0.7838282931559737,0.71875,0.6958698372966208,0.6659597030752916,0.6727272727272727
pima,4,3,0.25,0.5,0.01,0.4066996262459057,-0.03539819804972503,0.11352137596048976,0.71875,0.6935672514619883,0.6755037115588547,0.681063122923588
pima,1,1,0.25,0.5,0.05,0.4006003101118702,-0.3948434217307453,1.320745569423839e-75,0.6927083333333334,0.6640625,0.6583598444680099,0.6606656082437168
pima,1,2,0.25,0.5,0.05,0.4009153570102246,-0.10529160323856307,2.37051227146789e-06,0.7135416666666666,0.6885673624288424,0.6873453517143867,0.6879340406040368
pima,1,3,0.25,0.5,0.05,0.38530819865918076,0.17378412100182103,5.011299038832667e-15,0.7135416666666666,0.6875,0.6809826793920113,0.6836713297187191
pima,2,1,0.25,0.5,0.05,0.37992573953258685,-0.1873338775836875,2.9766219378002975e-17,0.796875,0.7664693772516726,0.7591665623826804,0.7625495481211353
pima,2,2,0.25,0.5,0.05,0.3955280169080946,-0.25199120516071577,2.4184177285541984e-30,0.7708333333333334,0.7404255319148936,0.7050431735702666,0.71658615136876
pima,2,3,0.25,0.5,0.05,0.39409458494201777,-0.07779268132935031,0.0004975031131903622,0.7760416666666666,0.7465277777777778,0.713239894881742,0.7245704753961635
pima,3,1,0.25,0.5,0.05,0.4131814410257015,-0.2499056410397003,7.442955309953007e-30,0.7604166666666666,0.7550990462215701,0.704842700600919,0.7159032424086464
pima,3,2,0.25,0.5,0.05,0.38549610175876203,0.15903549460480543,8.464905210382206e-13,0.7760416666666666,0.7708450704225351,0.7265818310357017,0.7381956556207389
pima,3,3,0.25,0.5,0.05,0.39145993982453353,0.031138602022830045,0.1639140531762927,0.75,0.7382617382617382,0.6967126193001061,0.706384605581751
pima,4,1,0.25,0.5,0.05,0.39536997806137475,-0.025370819954412843,0.2567564788277838,0.71875,0.6948554364055926,0.6691410392364794,0.6756350894756601
pima,4,2,0.25,0.5,0.05,0.38663108632142207,-0.22476280572056426,2.540840506115689e-24,0.7395833333333334,0.722569879015436,0.688582537999293,0.696969696969697
pima,4,3,0.25,0.5,0.05,0.3779711298157038,0.3290735550764653,1.0144437446978614e-51,0.7291666666666666,0.7068347710683477,0.6836337928596677,0.6903225806451614
pima,1,1,0.25,0.75,0.01,0.4895841058058818,-0.5108084215248253,2.3035498514981936e-133,0.6979166666666666,0.6686131386861314,0.6496995404736656,0.6545905707196029
pima,1,2,0.25,0.75,0.01,0.5181156073967272,-0.48459742124709476,2.7354949449448636e-118,0.6822916666666666,0.6533189033189033,0.6502297631671969,0.6515841142347166
pima,1,3,0.25,0.75,0.01,0.510051576902339,-0.2280600771477696,5.199712718480406e-25,0.7291666666666666,0.705492544921626,0.6899964651820432,0.6953125
