dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
wine,1,1,0.25,0.25,0.01,0.34756335282651074,-0.21817148285833357,5.61907082841964e-23,0.9333333333333333,0.9387254901960785,0.9373219373219372,0.9358730158730159
wine,1,2,0.25,0.25,0.01,0.3598927875243665,-0.030021243968897705,0.1795784980285051,0.9555555555555556,0.9558404558404558,0.9558404558404558,0.9558404558404558
wine,1,3,0.25,0.25,0.01,0.3592105263157895,-0.17512600322060903,3.070460986455069e-15,0.9333333333333333,0.9392712550607287,0.9338624338624338,0.9359359359359359
wine,2,1,0.25,0.25,0.01,0.36057504873294344,0.2700011051755611,9.477169544414199e-35,0.9555555555555556,0.9555555555555556,0.9607843137254902,0.9553571428571429
wine,2,2,0.25,0.25,0.01,0.3623781676413255,-0.08506503251255922,0.00013967077250505412,0.9555555555555556,0.9553571428571429,0.9607843137254902,0.9560682994822779
wine,2,3,0.25,0.25,0.01,0.373635477582846,-0.41853220344827574,1.1949354373152117e-85,0.9333333333333333,0.9315476190476191,0.9351432880844645,0.9326599326599326
wine,3,1,0.25,0.25,0.01,0.374317738791423,-0.36556460035182886,2.813098932200725e-64,0.9545454545454546,0.9583333333333334,0.9523809523809524,0.9521367521367522
wine,3,2,0.25,0.25,0.01,0.358625730994152,-0.13833870772735088,5.207509255569871e-10,0.9772727272727273,0.9777777777777779,0.9761904761904763,0.9761600681140911
wine,3,3,0.25,0.25,0.01,0.3567738791423002,-0.2734087764389939,1.2701546503045008e-35,0.9772727272727273,0.9777777777777779,0.9761904761904763,0.9761600681140911
wine,4,1,0.25,0.25,0.01,0.36213450292397664,0.5289686565582657,1.313838820997887e-144,0.9090909090909091,0.9212962962962963,0.9134199134199134,0.9114066496163682
wine,4,2,0.25,0.25,0.01,0.3689571150097466,0.09459127891155675,2.2641616310015906e-05,0.9090909090909091,0.8928571428571429,0.9307359307359307,0.9074074074074074
wine,4,3,0.25,0.25,0.01,0.3476120857699805,0.13285940964114457,2.4553901186897966e-09,0.9318181818181818,0.9174603174603174,0.9458874458874459,0.927361469997129
wine,1,1,0.25,0.25,0.05,0.32884990253411306,0.14505402321236505,7.151040111266783e-11,1.0,1.0,1.0,1.0
wine,1,2,0.25,0.25,0.05,0.3180409356725146,0.19303451702913493,3.05472878753176e-18,1.0,1.0,1.0,1.0
wine,1,3,0.25,0.25,0.05,0.3404970760233918,-0.30716068881752145,5.843871058967664e-45,0.9555555555555556,0.9592592592592593,0.9558404558404558,0.9566538952745849
wine,2,1,0.25,0.25,0.05,0.3685185185185185,-0.09275891282917198,3.2575580302977165e-05,0.9555555555555556,0.9607843137254902,0.9607843137254902,0.9583333333333334
wine,2,2,0.25,0.25,0.05,0.3558479532163743,0.3706311203625496,3.726662192190202e-66,0.9777777777777777,0.9761904761904763,0.9803921568627452,0.9775533108866442
wine,2,3,0.25,0.25,0.05,0.3374269005847953,0.35150296898157396,3.0648078206252068e-59,0.9777777777777777,0.9761904761904763,0.9803921568627452,0.9775533108866442
wine,3,1,0.25,0.25,0.05,0.3315789473684211,-0.05608511497455761,0.012120751743568602,1.0,1.0,1.0,1.0
wine,3,2,0.25,0.25,0.05,0.3726608187134503,0.01898164173302512,0.39619823305910296,1.0,1.0,1.0,1.0
wine,3,3,0.25,0.25,0.05,0.35828460038986354,-0.017597830227561367,0.4315349256035428,1.0,1.0,1.0,1.0
wine,4,1,0.25,0.25,0.05,0.34800194931773876,0.23221446635567608,6.796274732184132e-26,0.9090909090909091,0.907018907018907,0.9220779220779219,0.9130520895226777
wine,4,2,0.25,0.25,0.05,0.35423976608187135,0.4335701341864252,1.8583148447474602e-92,0.8863636363636364,0.8835978835978836,0.906926406926407,0.8940134193212167
wine,4,3,0.25,0.25,0.05,0.3655945419103314,0.5795629357679782,8.012177998002927e-180,0.9090909090909091,0.8928571428571429,0.9307359307359307,0.9074074074074074
wine,1,1,0.25,0.5,0.01,0.46998050682261205,-0.4725922848069119,8.224696397557484e-112,0.9777777777777777,0.9777777777777779,0.9814814814814815,0.9789819376026273
wine,1,2,0.25,0.5,0.01,0.46538011695906434,-0.4415622407421915,3.221587152973245e-96,0.9555555555555556,0.9666666666666667,0.9505494505494506,0.9567771280051982
wine,1,3,0.25,0.5,0.01,0.47621832358674465,-0.5543074537910934,1.7341131331268981e-161,0.9333333333333333,0.9327731092436974,0.9391534391534391,0.935273368606702
wine,2,1,0.25,0.5,0.01,0.46842105263157896,-0.14867390804565664,2.3584929168669765e-11,0.9111111111111111,0.9121732026143791,0.9095022624434389,0.9100316255534472
wine,2,2,0.25,0.5,0.01,0.46832358674463936,0.4051591357983997,7.031444520994358e-80,0.9555555555555556,0.9553571428571429,0.9607843137254902,0.9560682994822779
wine,2,3,0.25,0.5,0.01,0.46988304093567246,-0.2198513965828721,2.576692007545954e-23,0.9777777777777777,0.9791666666666666,0.9803921568627452,0.9791463017269469
wine,3,1,0.25,0.5,0.01,0.4996101364522417,-0.0616195581362309,0.00584044465084067,0.9772727272727273,0.9777777777777779,0.9761904761904763,0.9761600681140911
wine,3,2,0.25,0.5,0.01,0.4551656920077973,-0.07273437010449905,0.0011336911668756537,1.0,1.0,1.0,1.0
wine,3,3,0.25,0.5,0.01,0.45935672514619885,-0.25514891242023197,4.321907982408708e-31,1.0,1.0,1.0,1.0
wine,4,1,0.25,0.5,0.01,0.4552631578947368,0.503257719949434,6.927304848915259e-129,0.8636363636363636,0.8523809523809524,0.8917748917748917,0.8677248677248676
wine,4,2,0.25,0.5,0.01,0.43918128654970756,0.6771386343450767,1.8711651536126406e-268,0.9545454545454546,0.961038961038961,0.961038961038961,0.961038961038961
wine,4,3,0.25,0.5,0.01,0.48703703703703705,-0.3125955754810252,1.388476668970476e-46,0.8409090909090909,0.8263841421736159,0.8766233766233765,0.8428388043278928
